industry,code,name,weight
機械,7011,三菱重工業,1
機械,7013,IHI,1
機械,6273,SMC,1
機械,6326,クボタ,1
機械,6146,ディスコ,1
機械,6586,マキタ,1
電気機器,6501,日立製作所,1
電気機器,6758,ソニーグループ,1
電気機器,8035,東京エレクトロン,1
電気機器,6857,アドバンテスト,1
電気機器,6762,TDK,1
電気機器,6702,富士通,1
電気機器,6981,村田製作所,1
電気機器,6594,ニデック,1
輸送用機器,7203,トヨタ自動車,1
輸送用機器,7267,本田技研工業,1
輸送用機器,7201,日産自動車,1
輸送用機器,6902,デンソー,1
輸送用機器,7270,SUBARU,1
輸送用機器,7269,スズキ,1
輸送用機器,7012,川崎重工業,1
輸送用機器,7272,ヤマハ発動機,1
精密機器,4543,テルモ,1
精密機器,7741,HOYA,1
精密機器,7733,オリンパス,1
精密機器,7731,ニコン,1
精密機器,7747,朝日インテック,1
精密機器,7762,シチズン時計,1
精密機器,7701,島津製作所,1
その他製品,7974,任天堂,1
その他製品,7832,バンダイナムコHD,1
その他製品,7911,TOPPAN HD,1
その他製品,7912,大日本印刷,1
その他製品,7951,ヤマハ,1
その他製品,7936,アシックス,1
その他製品,7867,タカラトミー,1
電気・ガス業,9501,東京電力HD,1
電気・ガス業,9502,中部電力,1
電気・ガス業,9503,関西電力,1
電気・ガス業,9506,東北電力,1
電気・ガス業,9508,九州電力,1
電気・ガス業,9513,電源開発,1
電気・ガス業,9531,東京瓦斯,1
電気・ガス業,9532,大阪瓦斯,1
陸運業,9020,東日本旅客鉄道,1
陸運業,9021,西日本旅客鉄道,1
陸運業,9022,東海旅客鉄道,1
陸運業,9005,東急,1
陸運業,9007,小田急電鉄,1
陸運業,9064,ヤマトHD,1
陸運業,9147,NIPPON EXPRESS HD,1
陸運業,9076,セイノーHD,1
海運業,9101,日本郵船,1
海運業,9104,商船三井,1
海運業,9107,川崎汽船,1
海運業,9110,NSユナイテッド海運,1
海運業,9119,飯野海運,1
空運業,9201,日本航空,1
空運業,9202,ANA HD,1
空運業,9204,スカイマーク,1
倉庫・運輸関連業,9301,三菱倉庫,1
倉庫・運輸関連業,9302,三井倉庫HD,1
倉庫・運輸関連業,9303,住友倉庫,1
倉庫・運輸関連業,9364,上組,1
倉庫・運輸関連業,9310,日本トランスシティ,1
倉庫・運輸関連業,9324,安田倉庫,1
倉庫・運輸関連業,9369,キユーソー流通システム,1
情報・通信業,9432,NTT,1
情報・通信業,9433,KDDI,1
情報・通信業,9984,ソフトバンクグループ,1
情報・通信業,9434,ソフトバンク,1
情報・通信業,4755,楽天グループ,1
情報・通信業,4689,LINEヤフー,1
情報・通信業,3626,TIS,1
情報・通信業,4307,野村総合研究所,1
卸売業,8058,三菱商事,1
卸売業,8031,三井物産,1
卸売業,8001,伊藤忠商事,1
卸売業,8002,丸紅,1
卸売業,8053,住友商事,1
卸売業,8015,豊田通商,1
卸売業,2768,双日,1
卸売業,9987,スズケン,1
小売業,9983,ファーストリテイリング,1
小売業,3382,セブン&アイHD,1
小売業,8267,イオン,1
小売業,7532,パン・パシフィック・インターナショナルHD,1
小売業,9843,ニトリHD,1
小売業,3088,マツキヨココカラ&カンパニー,1
小売業,3099,三越伊勢丹HD,1
小売業,3038,神戸物産,1
銀行業,8306,三菱UFJ FG,1
銀行業,8316,三井住友FG,1
銀行業,8411,みずほFG,1
銀行業,7182,ゆうちょ銀行,1
銀行業,8308,りそなHD,1
銀行業,8331,千葉銀行,1
銀行業,8354,ふくおかFG,1
銀行業,5831,しずおかFG,1
証券、商品先物取引業,8604,野村HD,1
証券、商品先物取引業,8601,大和証券グループ本社,1
証券、商品先物取引業,8473,SBI HD,1
証券、商品先物取引業,8616,東海東京FH,1
証券、商品先物取引業,8628,松井証券,1
証券、商品先物取引業,8708,アイザワ証券グループ,1
保険業,8766,東京海上HD,1
保険業,8725,MS&ADインシュアランスグループHD,1
保険業,8630,SOMPO HD,1
保険業,8750,第一生命HD,1
保険業,8795,T&D HD,1
保険業,7181,かんぽ生命保険,1
その他金融業,8591,オリックス,1
その他金融業,8593,三菱HCキャピタル,1
その他金融業,8253,クレディセゾン,1
その他金融業,8439,東京センチュリー,1
その他金融業,8566,リコーリース,1
その他金融業,8570,イオンフィナンシャルサービス,1
その他金融業,8697,日本取引所グループ,1
不動産業,8801,三井不動産,1
不動産業,8802,三菱地所,1
不動産業,8830,住友不動産,1
不動産業,3289,東急不動産HD,1
不動産業,3003,ヒューリック,1
不動産業,8804,東京建物,1
不動産業,3231,野村不動産HD,1
サービス業,6098,リクルートHD,1
サービス業,4661,オリエンタルランド,1
サービス業,2413,エムスリー,1
サービス業,6532,ベイカレント,1
サービス業,9735,セコム,1
サービス業,9602,東宝,1
サービス業,2181,パーソルHD,1
サービス業,4324,電通グループ,1
